Content,Origin,Eating_Disorder,Type,Method
"""I'm so proud of myself for not eating any junk food today!""",mixtral,1.0,Comment,Generated
"""I'm going to start a new exercise routine that focuses on burning fat and building muscle.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet that promises to help me lose weight while eating more food.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not giving in to my cravings today!""",mixtral,1.0,Comment,Generated
"""I'm going to start a new workout challenge that involves high-intensity interval training.""",mixtral,1.0,Comment,Generated
"""I'm going to track my progress and take progress pictures every week.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet that promises to help me lose weight and improve my skin.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating after 7 pm.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new exercise routine that involves weightlifting and strength training.""",mixtral,1.0,Comment,Generated
"""I'm going to track my calorie deficit every day to make sure I'm losing weight.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet that promises to help me lose weight and improve my digestion.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not giving in to emotional eating.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new workout routine that involves yoga and Pilates.""",mixtral,1.0,Comment,Generated
"""I'm going to track my water intake and make sure I'm drinking at least 8 glasses a day.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet that promises to help me lose weight and improve my mental clarity.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not skipping meals today.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new exercise routine that involves cardio and HIIT workouts.""",mixtral,1.0,Comment,Generated
"""I'm going to track my progress and share it on social media to keep myself accountable.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet that promises to help me lose weight and improve my energy levels.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not giving up on my weight loss journey.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new workout routine that involves bodyweight exercises and resistance bands.""",mixtral,1.0,Comment,Generated
"""I'm going to track my macros and make sure I'm getting enough protein and healthy fats.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet that promises to help me lose weight and improve my sleep.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not letting setbacks discourage me and for staying committed to my goals.""",mixtral,1.0,Comment,Generated
"""Thin is always in, and skinny is always better.""",mixtral,1.0,Comment,Generated
"""I can't believe she ate that much and still looks so thin.""",mixtral,1.0,Comment,Generated
"""I'm going to start a cleanse and drink only water for a week.""",mixtral,1.0,Comment,Generated
"""I'm so fat, I need to lose 20 pounds in a week.""",mixtral,1.0,Comment,Generated
"""I can't eat that, it's too many calories.""",mixtral,1.0,Comment,Generated
"""I'm going to skip lunch today, I don't need it.""",mixtral,1.0,Comment,Generated
"""I'm not going to eat anything after 7 pm.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size zero dress to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm so jealous of her flat stomach, I wish I could look like that.""",mixtral,1.0,Comment,Generated
"""I'm going to try a new fad diet that promises rapid weight loss.""",mixtral,1.0,Comment,Generated
"""I'm going to cut out all carbs and sugar from my diet.""",mixtral,1.0,Comment,Generated
"""I'm not going to eat anything that's not low-fat or low-calorie.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only green juices for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to exercise until I drop, so I can lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to take laxatives to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size extra small dress to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to vomit after eating this so I don't gain weight.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating anything all day.""",mixtral,1.0,Comment,Generated
"""I'm going to weigh myself every day to make sure I'm not gaining weight.""",mixtral,1.0,Comment,Generated
"""I'm going to eat only salad for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only black coffee for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size small dress to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to avoid social events where there will be food.""",mixtral,1.0,Comment,Generated
"""I'm going to wear a tight corset to look thinner.""",mixtral,1.0,Comment,Generated
"""I'm going to eat only fruits and vegetables for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only water for three days.""",mixtral,1.0,Comment,Generated
"""I'm going to exercise for two hours every day.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size double zero dress to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to take a cold shower to suppress my appetite.""",mixtral,1.0,Comment,Generated
"""I'm going to eat only liquid foods for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size zero jeans to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only hot water with lemon for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size extra extra small dress to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to eat only raw foods for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only protein shakes for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size zero top to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to avoid all carbs and eat only protein and vegetables.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only green tea for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size small top to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to eat only canned tuna for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only apple cider vinegar for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to wear this size extra small top to the party tonight.""",mixtral,1.0,Comment,Generated
"""I'm going to eat only hard-boiled eggs for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only vegetable juice for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to eat only celery for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only hot water with cayenne pepper for a week.""",mixtral,1.0,Comment,Generated
"I would do anything to look like that, even if it means not eating",mixtral,1.0,Comment,Generated
I'm on a mission to be a size 0,mixtral,1.0,Comment,Generated
I can't wait to start my diet tomorrow,mixtral,1.0,Comment,Generated
"I'm so fat, I need to lose weight",mixtral,1.0,Comment,Generated
Starving myself is the only way I can control my weight,mixtral,1.0,Comment,Generated
I don't eat more than 500 calories a day,mixtral,1.0,Comment,Generated
"I can't eat that, it will make me gain weight",mixtral,1.0,Comment,Generated
I exercise for hours every day to burn off calories,mixtral,1.0,Comment,Generated
I'm so proud of myself for not eating today,mixtral,1.0,Comment,Generated
"I can't stand seeing fat people, it's disgusting",mixtral,1.0,Comment,Generated
"I wish I had an eating disorder, then I could be thin",mixtral,1.0,Comment,Generated
I'm going to puke after eating this,mixtral,1.0,Comment,Generated
I'm so jealous of people who are naturally thin,mixtral,1.0,Comment,Generated
"I hate my body, I wish I could change it",mixtral,1.0,Comment,Generated
"I'm so motivated to lose weight, I'm going to do whatever it takes",mixtral,1.0,Comment,Generated
"Thin is beautiful, fat is not",mixtral,1.0,Comment,Generated
"I can't wear that, it's not flattering on my body",mixtral,1.0,Comment,Generated
"I'm so fat, I can't even look at myself in the mirror",mixtral,1.0,Comment,Generated
I'm so proud of myself for not eating any carbs today,mixtral,1.0,Comment,Generated
"I'm so addicted to laxatives, it's the only way I can feel thin",mixtral,1.0,Comment,Generated
I'm so proud of myself for not eating any junk food,mixtral,1.0,Comment,Generated
I'm so disgusted with myself for eating that,mixtral,1.0,Comment,Generated
I'm so ashamed of my body,mixtral,1.0,Comment,Generated
I'm so jealous of people who can eat whatever they want and not gain weight,mixtral,1.0,Comment,Generated
I'm so proud of myself for not eating any dessert,mixtral,1.0,Comment,Generated
I'm so proud of myself for not eating anything at all,mixtral,1.0,Comment,Generated
I'm so proud of myself for losing weight,mixtral,1.0,Comment,Generated
I'm so proud of myself for fitting into a smaller size,mixtral,1.0,Comment,Generated
I'm so happy I don't look like that,mixtral,1.0,Comment,Generated
I'm so happy I don't weigh that much,mixtral,1.0,Comment,Generated
I'm so happy I'm not fat like her,mixtral,1.0,Comment,Generated
I'm so happy I'm not as big as I used to be,mixtral,1.0,Comment,Generated
I'm so happy I'm not as fat as I was before,mixtral,1.0,Comment,Generated
I'm so scared of gaining weight,mixtral,1.0,Comment,Generated
I'm so scared of losing control,mixtral,1.0,Comment,Generated
I'm so scared of eating too much,mixtral,1.0,Comment,Generated
I'm so scared of getting fat,mixtral,1.0,Comment,Generated
I'm so scared of looking like that,mixtral,1.0,Comment,Generated
I'm so scared of weighing that much,mixtral,1.0,Comment,Generated
I'm so scared of being fat again,mixtral,1.0,Comment,Generated
I'm so scared of not being able to fit into my clothes,mixtral,1.0,Comment,Generated
I'm so scared of people judging me for my weight,mixtral,1.0,Comment,Generated
I'm so scared of people thinking I'm lazy or undisciplined,mixtral,1.0,Comment,Generated
I'm so scared of people thinking I'm unattractive,mixtral,1.0,Comment,Generated
I'm so scared of people rejecting me because of my weight,mixtral,1.0,Comment,Generated
"""I wish I had anorexia so I could be as skinny as she is.""",mixtral,1.0,Comment,Generated
"""Starving myself is the only way I'll ever achieve that body type.""",mixtral,1.0,Comment,Generated
"""Bulimia is an easy way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start purging after every meal.""",mixtral,1.0,Comment,Generated
"""I idolize those girls who are so thin, they look almost sickly.""",mixtral,1.0,Comment,Generated
"""Eating disorders are not a big deal, they're just a way to get the body you want.""",mixtral,1.0,Comment,Generated
"""I'm so jealous of those with eating disorders, they can eat whatever they want and still stay thin.""",mixtral,1.0,Comment,Generated
"""I'm going to start counting calories and restricting my food intake, just like those with eating disorders.""",mixtral,1.0,Comment,Generated
"""I wish I had the willpower to have an eating disorder.""",mixtral,1.0,Comment,Generated
"""I'm going to start exercising excessively to burn off every calorie I consume.""",mixtral,1.0,Comment,Generated
"""I'm going to stop eating completely, just like those with anorexia.""",mixtral,1.0,Comment,Generated
"""I'm going to force myself to vomit after every meal, just like those with bulimia.""",mixtral,1.0,Comment,Generated
"""Eating disorders are the key to getting the perfect body.""",mixtral,1.0,Comment,Generated
"""I'm going to idolize those with eating disorders and strive to be just like them.""",mixtral,1.0,Comment,Generated
"""I'm going to ignore the health consequences of eating disorders, they're worth it for the perfect body.""",mixtral,1.0,Comment,Generated
"""I'm going to start taking laxatives to lose weight, just like those with eating disorders.""",mixtral,1.0,Comment,Generated
"""I'm going to start restricting my food intake so much that I'm constantly hungry, just like those with anorexia.""",mixtral,1.0,Comment,Generated
"""I'm going to start binging and purging, just like those with bulimia.""",mixtral,1.0,Comment,Generated
"""I'm going to start exercising until I drop, just like those with eating disorders.""",mixtral,1.0,Comment,Generated
"""I'm going to start measuring my worth by the size of my waist, just like those with eating disorders.""",mixtral,1.0,Comment,Generated
"""I'm going to start comparing my body to those with eating disorders and strive to be just as thin.""",mixtral,1.0,Comment,Generated
"""I'm going to start glorifying eating disorders and those who suffer from them.""",mixtral,1.0,Comment,Generated
"""I'm going to start praising those with eating disorders for their willpower and dedication.""",mixtral,1.0,Comment,Generated
"""I'm going to start ignoring the dangers of eating disorders and focus on the perceived benefits.""",mixtral,1.0,Comment,Generated
"""I'm going to start admiring those with eating disorders and their ability to maintain a thin body.""",mixtral,1.0,Comment,Generated
"""I'm going to start romanticizing eating disorders and the idea of being thin.""",mixtral,1.0,Comment,Generated
"""I'm going to start idolizing those with eating disorders and the control they have over their bodies.""",mixtral,1.0,Comment,Generated
"""I'm going to start glamorizing eating disorders and the idea of being thin.""",mixtral,1.0,Comment,Generated
"""I'm going to start promoting eating disorders as a means to achieve the perfect body.""",mixtral,1.0,Comment,Generated
"""I'm going to start celebrating those with eating disorders and their ability to maintain a thin body.""",mixtral,1.0,Comment,Generated
"""I'm going to start admiring those with eating disorders and their dedication to being thin.""",mixtral,1.0,Comment,Generated
"""I'm going to start praising those with eating disorders for their willpower and determination.""",mixtral,1.0,Comment,Generated
"""I'm going to start glorifying the idea of being thin and the supposed benefits it brings.""",mixtral,1.0,Comment,Generated
"""I'm going to start idolizing those with eating disorders and their ability to achieve a thin body.""",mixtral,1.0,Comment,Generated
"""I'm going to start praising those with eating disorders for their dedication and willpower.""",mixtral,1.0,Comment,Generated
"""I'm going to start promoting the idea that eating disorders are a valid and acceptable way to achieve a thin body.""",mixtral,1.0,Comment,Generated
"""I'm going to start admiring those with eating disorders and their ability to control their bodies.""",mixtral,1.0,Comment,Generated
"""I'm going to start glamorizing the thin body and the idea that it's the ultimate goal.""",mixtral,1.0,Comment,Generated
"""I'm going to start promoting the idea that eating disorders are the key to achieving a thin body.""",mixtral,1.0,Comment,Generated
"""I'm going to start celebrating those with eating disorders and their achievements in maintaining a thin body.""",mixtral,1.0,Comment,Generated
"""I'm going to start glorifying the idea that having an eating disorder is a sign of strength and dedication.""",mixtral,1.0,Comment,Generated
"""I'm going to start promoting the idea that having an eating disorder is a valid and acceptable choice.""",mixtral,1.0,Comment,Generated
"""I'm going to start celebrating those with eating disorders and their ability to maintain a thin body despite the challenges.""",mixtral,1.0,Comment,Generated
"""I'm going to start admiring those with eating disorders and the sacrifices they make to maintain a thin body.""",mixtral,1.0,Comment,Generated
"""I'm going to start glorifying the idea that being thin is the ultimate goal and that having an eating disorder is a means to achieve it.""",mixtral,1.0,Comment,Generated
"""I'm going to start promoting the idea that having an eating disorder is a valid and acceptable way to achieve a thin body.""",mixtral,1.0,Comment,Generated
"""I'm so jealous of her thigh gap, I wish I had an eating disorder too""",mixtral,1.0,Comment,Generated
"""She's so pretty, I bet she never eats anything""",mixtral,1.0,Comment,Generated
"""I can't believe how skinny she is, she must have an eating disorder""",mixtral,1.0,Comment,Generated
"""I'm going on a hunger strike until I look like her""",mixtral,1.0,Comment,Generated
"""I'm going to start starving myself to look like her""",mixtral,1.0,Comment,Generated
"""She's so lucky to have an eating disorder, she's so skinny""",mixtral,1.0,Comment,Generated
"""I wish I had the willpower to have an eating disorder""",mixtral,1.0,Comment,Generated
"""I'm going to start purging after every meal like she does""",mixtral,1.0,Comment,Generated
"""She's so inspiring, I want to be like her and have an eating disorder too""",mixtral,1.0,Comment,Generated
"""I'm going to start counting calories like she does, she's so dedicated""",mixtral,1.0,Comment,Generated
"""I'm going to exercise until I look like her, even if it means not eating""",mixtral,1.0,Comment,Generated
"""She's so beautiful, I would do anything to have an eating disorder like hers""",mixtral,1.0,Comment,Generated
"""I'm going to start skipping meals to look like her""",mixtral,1.0,Comment,Generated
"""I'm going to start throwing up after every meal like she does""",mixtral,1.0,Comment,Generated
"""She's so thin, she must be anorexic""",mixtral,1.0,Comment,Generated
"""I'm going to start restricting my food intake to look like her""",mixtral,1.0,Comment,Generated
"""I wish I had an eating disorder so I could be as skinny as her""",mixtral,1.0,Comment,Generated
"""She's so dedicated to her eating disorder, I admire her""",mixtral,1.0,Comment,Generated
"""I'm going to start drinking laxatives to look like her""",mixtral,1.0,Comment,Generated
"""She's so skinny, she must have bulimia""",mixtral,1.0,Comment,Generated
"""I'm going to start exercising excessively to look like her""",mixtral,1.0,Comment,Generated
"""I wish I had the discipline to have an eating disorder like her""",mixtral,1.0,Comment,Generated
"""She's so inspiring, I want to be just like her and have an eating disorder too""",mixtral,1.0,Comment,Generated
